league,team,player,matches,assists,xAG,minutes,position,assists_minus_xag,assists_minus_xag_90
ENG-Premier League,Arsenal,Aaron Ramsey,52,14,7.4,3177,MF,6.6,0.18696883852691215
ENG-Premier League,Arsenal,Ainsley Maitland-Niles,70,3,3.7,4045,"DF,MF",-0.7000000000000002,-0.015574783683559953
ENG-Premier League,Arsenal,Albert Sambi Lokonga,25,0,1.0,1332,MF,-1.0,-0.06756756756756757
ENG-Premier League,Arsenal,Alex Iwobi,61,11,10.5,3800,"MF,FW",0.5,0.011842105263157895
ENG-Premier League,Arsenal,Alexandre Lacazette,158,25,16.2,10283,FW,8.8,0.07702032480793543
ENG-Premier League,Arsenal,Alexis Sánchez,19,3,4.9,1503,"MF,FW",-1.9000000000000004,-0.11377245508982038
ENG-Premier League,Arsenal,Ben White,124,11,9.7,10121,DF,1.3000000000000007,0.011560122517537798
ENG-Premier League,Arsenal,Bukayo Saka,195,45,41.8,15121,FW,3.200000000000003,0.019046359367766698
ENG-Premier League,Arsenal,Calum Chambers,38,3,2.9000000000000004,2891,DF,0.09999999999999964,0.003113109650639906
ENG-Premier League,Arsenal,Cédric Soares,41,2,2.5,2572,"MF,DF",-0.5,-0.017496111975116642
ENG-Premier League,Arsenal,Dani Ceballos,49,5,4.4,3307,MF,0.5999999999999996,0.016328999092833373
ENG-Premier League,Arsenal,Danny Welbeck,36,3,1.7,1347,"FW,MF",1.3,0.08685968819599109
ENG-Premier League,Arsenal,David Luiz,53,1,1.4,4205,DF,-0.3999999999999999,-0.008561236623067774
ENG-Premier League,Arsenal,Declan Rice,73,15,11.899999999999999,6050,MF,3.1000000000000014,0.04611570247933886
ENG-Premier League,Arsenal,Eddie Nketiah,116,6,5.2,4149,FW,0.7999999999999998,0.017353579175704986
ENG-Premier League,Arsenal,Emile Smith Rowe,80,9,6.3,3983,MF,2.7,0.06100928948029124
ENG-Premier League,Arsenal,Ethan Nwaneri,28,2,1.2,910,FW,0.8,0.07912087912087912
ENG-Premier League,Arsenal,Fabio Vieira,33,4,4.1,811,"MF,FW",-0.09999999999999964,-0.011097410604192316
ENG-Premier League,Arsenal,Gabriel Jesus,70,11,8.4,4150,FW,2.5999999999999996,0.05638554216867469
ENG-Premier League,Arsenal,Gabriel Magalhães,160,1,2.6999999999999997,13875,DF,-1.6999999999999997,-0.011027027027027025
ENG-Premier League,Arsenal,Gabriel Martinelli,161,20,26.4,10210,FW,-6.399999999999999,-0.056415279138099884
ENG-Premier League,Arsenal,Granit Xhaka,193,22,16.8,16186,MF,5.199999999999999,0.02891387618929939
ENG-Premier League,Arsenal,Henrikh Mkhitaryan,39,8,9.3,2547,"FW,MF",-1.3000000000000007,-0.045936395759717336
ENG-Premier League,Arsenal,Héctor Bellerín,94,10,8.9,7831,DF,1.0999999999999996,0.0126420635934108
ENG-Premier League,Arsenal,Jack Wilshere,20,3,2.6,1193,MF,0.3999999999999999,0.030176026823134947
ENG-Premier League,Arsenal,Jakub Kiwior,44,3,1.2,2495,DF,1.8,0.06492985971943888
ENG-Premier League,Arsenal,Joe Willock,40,1,1.2000000000000002,1241,MF,-0.20000000000000018,-0.014504431909750214
ENG-Premier League,Arsenal,Jorginho,53,3,2.0,2480,MF,1.0,0.036290322580645164
ENG-Premier League,Arsenal,Jurriën Timber,32,3,0.8,2488,DF,2.2,0.07958199356913184
ENG-Premier League,Arsenal,Kai Havertz,60,10,6.800000000000001,4509,"MF,FW",3.1999999999999993,0.06387225548902194
ENG-Premier League,Arsenal,Kieran Tierney,104,8,8.0,6257,"DF,MF",0.0,0.0
ENG-Premier League,Arsenal,Laurent Koscielny,42,0,0.6000000000000001,3556,DF,-0.6000000000000001,-0.015185601799775031
ENG-Premier League,Arsenal,Leandro Trossard,92,18,13.6,5126,FW,4.4,0.07725321888412018
ENG-Premier League,Arsenal,Lucas Torreira,63,3,2.0,3894,MF,1.0,0.023112480739599383
ENG-Premier League,Arsenal,Martin Ødegaard,152,31,31.4,12194,MF,-0.3999999999999986,-0.0029522716089880165
ENG-Premier League,Arsenal,Mattéo Guendouzi,57,1,2.9000000000000004,3897,MF,-1.9000000000000004,-0.043879907621247126
ENG-Premier League,Arsenal,Mesut Özil,68,12,15.099999999999998,5336,"MF,FW",-3.099999999999998,-0.052286356821589164
ENG-Premier League,Arsenal,Mikel Merino,28,2,2.0,1586,"MF,FW",0.0,0.0
ENG-Premier League,Arsenal,Mohamed Elneny,66,3,1.7000000000000002,3738,MF,1.2999999999999998,0.031300160513643656
ENG-Premier League,Arsenal,Myles Lewis-Skelly,23,0,0.4,1369,DF,-0.4,-0.02629656683710738
ENG-Premier League,Arsenal,Nacho Monreal,53,5,4.6,4374,DF,0.40000000000000036,0.008230452674897127
ENG-Premier League,Arsenal,Nicolas Pépé,80,9,7.5,4322,FW,1.5,0.03123553910226747
ENG-Premier League,Arsenal,Nuno Tavares,22,1,1.1,1176,DF,-0.10000000000000009,-0.007653061224489803
ENG-Premier League,Arsenal,Oleksandr Zinchenko,69,5,4.1,4367,DF,0.9000000000000004,0.018548202427295636
ENG-Premier League,Arsenal,Pablo Marí,14,0,0.4,1193,DF,-0.4,-0.030176026823134958
ENG-Premier League,Arsenal,Pierre-Emerick Aubameyang,128,16,12.0,10288,FW,4.0,0.034992223950233284
ENG-Premier League,Arsenal,Raheem Sterling,17,2,0.5,499,"FW,MF",1.5,0.27054108216432865
ENG-Premier League,Arsenal,Reiss Nelson,50,2,2.4,1350,"FW,MF",-0.3999999999999999,-0.02666666666666666
ENG-Premier League,Arsenal,Riccardo Calafiori,19,1,0.3,983,DF,0.7,0.06408952187182096
ENG-Premier League,Arsenal,Rob Holding,89,1,0.4,6179,DF,0.6,0.008739278200356044
ENG-Premier League,Arsenal,Sead Kolašinac,80,11,10.8,5916,DF,0.1999999999999993,0.0030425963488843705
ENG-Premier League,Arsenal,Shkodran Mustafi,76,2,2.3,6138,DF,-0.2999999999999998,-0.004398826979472139
ENG-Premier League,Arsenal,Sokratis Papastathopoulos,44,2,1.0,3894,DF,1.0,0.023112480739599383
ENG-Premier League,Arsenal,Stephan Lichtsteiner,14,0,0.1,938,DF,-0.1,-0.009594882729211088
ENG-Premier League,Arsenal,Takehiro Tomiyasu,65,3,2.0,3498,DF,1.0,0.025728987993138937
ENG-Premier League,Arsenal,Thomas Partey,130,5,5.9,9630,MF,-0.9000000000000004,-0.008411214953271032
ENG-Premier League,Arsenal,William Saliba,100,2,2.3,8874,DF,-0.2999999999999998,-0.0030425963488843796
ENG-Premier League,Arsenal,Willian,25,5,3.0,1406,FW,2.0,0.12802275960170698
ENG-Premier League,Aston Villa,Ahmed Elmohamady,32,1,3.8,1870,DF,-2.8,-0.13475935828877006
ENG-Premier League,Aston Villa,Amadou Onana,26,0,0.7,1617,MF,-0.7,-0.03896103896103896
ENG-Premier League,Aston Villa,Anwar El Ghazi,71,5,4.9,4050,"FW,MF",0.09999999999999964,0.0022222222222222144
ENG-Premier League,Aston Villa,Ashley Young,53,2,2.0,3286,"DF,FW",0.0,0.0
ENG-Premier League,Aston Villa,Axel Disasi,7,0,0.4,490,DF,-0.4,-0.07346938775510205
ENG-Premier League,Aston Villa,Bertrand Traoré,55,6,4.3999999999999995,2781,FW,1.6000000000000005,0.05177993527508092
ENG-Premier League,Aston Villa,Björn Engels,17,0,0.3,1447,DF,-0.3,-0.018659295093296474
ENG-Premier League,Aston Villa,Boubacar Kamara,70,2,3.0,5155,MF,-1.0,-0.01745877788554801
ENG-Premier League,Aston Villa,Calum Chambers,30,1,0.5,1336,DF,0.5,0.033682634730538924
ENG-Premier League,Aston Villa,Clément Lenglet,14,1,0.8,1153,DF,0.19999999999999996,0.015611448395490023
ENG-Premier League,Aston Villa,Conor Hourihane,31,6,6.6,1759,MF,-0.5999999999999996,-0.030699260943718006
ENG-Premier League,Aston Villa,Danny Ings,48,6,2.8,2722,FW,3.2,0.10580455547391623
